,Movies,Genres
0,Dersu Uzala (1974),[1 7]
1,Sleeper (1973),[ 4 15]
2,L.A. Confidential (1997),[ 5  9 13 16]
3,Midnight Run (1988),[0 1 4 5]
4,Saving Private Ryan (1998),[ 0  7 18]
5,Blade Runner (1982),[ 9 15]
6,Manon of the Spring (Manon des sources) (1986),[7]
7,Blade Runner (1982),[ 9 15]
8,"Usual Suspects, The (1995)",[ 5 16]
9,Touch of Evil (1958),[ 5  9 16]
10,Love and Death (1975),[4]
11,"Talented Mr. Ripley, The (1999)",[ 7 13 16]
12,Bull Durham (1988),[4]
13,Breakfast at Tiffany's (1961),[ 7 14]
14,Casablanca (1942),[ 7 14 18]
15,"Green Mile, The (1999)",[ 7 16]
16,Blue Velvet (1986),[ 7 13]
